Program_number,OwnerCheckReal,SignatureCheckReal,PDACheckReal,AccountInitializedCheckReal,OverflowCheckReal,UnderflowCheckReal,OwnerCheckPredicted,SignatureCheckPredicted,PDACheckPredicted,AccountInitializedCheckPredicted,OverflowCheckPredicted,UnderflowCheckPredicted
1,0,0,0,1,0,0,0,0,0,3,0,0
2,0,0,0,0,1,0,0,0,0,0,2,0
3,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,2
5,0,0,1,0,0,0,0,0,3,0,0,0
6,0,1,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,1,0,0,0,0,0,2
8,0,1,1,0,0,0,0,0,0,0,0,0
9,0,0,1,0,0,1,0,0,0,0,0,2
10,0,1,0,0,1,0,0,0,0,0,0,0
11,1,0,0,1,0,0,0,0,0,0,0,0
12,0,0,1,0,1,0,0,0,0,0,2,0
13,0,0,0,0,1,1,0,0,0,0,2,2
14,0,0,1,1,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,2,0
16,0,1,0,1,0,0,0,2,0,3,0,0
17,1,1,0,0,0,0,0,0,0,0,0,0
18,0,0,0,1,1,0,0,0,0,0,2,0
19,1,0,0,0,0,1,0,0,0,0,0,2
20,1,0,1,0,0,0,3,0,3,0,0,0
21,0,0,0,1,0,1,0,0,0,0,0,2
22,1,1,0,0,0,1,0,0,0,0,0,2
23,0,1,1,0,0,1,0,0,0,0,0,2
24,1,1,0,1,0,0,0,4,0,0,0,0
25,1,1,0,0,1,0,0,0,0,0,2,0
26,0,1,0,0,1,1,0,0,0,0,1,2
27,1,0,0,1,1,0,0,0,0,0,2,0
28,0,1,1,0,1,0,0,4,3,0,2,0
29,0,0,1,1,1,0,0,0,0,0,2,0
30,1,0,0,0,1,1,0,0,0,0,2,2
31,1,0,0,1,0,1,0,0,0,0,0,2
32,1,0,1,0,1,0,0,0,0,0,2,0
33,1,0,1,1,0,0,0,0,0,0,0,0
34,0,0,1,1,0,1,0,0,0,0,0,2
35,1,1,1,0,0,0,3,4,4,0,0,0
36,0,1,0,1,0,1,0,0,0,0,0,2
37,1,0,1,0,0,1,0,0,0,0,0,2
38,0,1,1,1,0,0,0,0,0,0,0,0
39,0,0,0,1,1,1,0,0,0,0,2,2
40,0,1,0,1,1,0,0,0,0,0,2,0
41,0,0,1,0,1,1,0,0,0,0,2,2
42,0,1,1,1,1,0,0,4,0,0,2,0
43,1,1,1,1,0,0,3,4,4,0,0,0
44,1,1,0,1,0,1,0,0,0,0,0,2
45,1,0,1,1,1,0,0,0,0,0,2,0
46,1,1,0,1,1,0,0,0,0,0,0,0
47,1,0,1,1,0,1,0,0,0,0,0,2
48,0,1,1,0,1,1,0,4,4,0,2,2
49,1,1,1,0,0,1,0,0,0,0,0,2
50,0,0,1,1,1,1,0,0,0,0,1,2
51,0,1,1,0,1,1,0,0,0,0,2,2
52,1,1,1,0,1,0,0,4,3,0,2,0
53,1,1,0,0,1,1,0,0,0,0,2,2
54,1,0,0,1,1,1,0,0,0,0,2,2
55,0,1,1,1,0,1,0,0,1,0,0,2
56,1,0,1,0,1,1,0,0,0,0,2,2
57,0,1,1,1,1,1,0,0,0,0,2,2
58,1,1,1,1,1,0,0,1,1,1,2,0
59,1,1,1,1,0,1,0,0,0,0,0,2
60,1,1,0,1,1,1,0,0,0,0,2,2
61,1,0,1,1,1,1,0,0,0,0,2,2
62,1,1,1,0,1,1,4,0,1,0,2,2
63,1,1,1,1,1,1,0,0,0,0,1,2
