Program_number,OwnerCheckReal,SignatureCheckReal,PDACheckReal,AccountInitializedCheckReal,OverflowCheckReal,UnderflowCheckReal,OwnerCheckPredicted,SignatureCheckPredicted,PDACheckPredicted,AccountInitializedCheckPredicted,OverflowCheckPredicted,UnderflowCheckPredicted
1,0,0,0,3,0,0,0,0,0,3,0,0
2,0,0,0,0,2,0,0,0,0,0,2,0
3,3,0,0,0,0,0,3,0,0,0,0,0
4,0,0,0,0,0,2,0,0,0,0,0,2
5,0,0,4,0,0,0,0,0,4,0,0,0
6,0,4,0,0,0,0,0,4,0,0,0,0
7,0,4,0,0,0,2,0,4,0,0,0,2
8,0,4,4,0,0,0,0,4,4,0,0,0
9,0,0,4,0,0,2,0,0,4,0,0,2
10,0,4,0,0,2,0,0,4,0,0,2,0
11,3,0,0,3,0,0,3,0,0,3,0,0
12,0,0,4,0,2,0,0,0,4,0,1,0
13,0,0,0,0,2,2,0,4,0,0,2,2
14,0,0,4,3,0,0,0,0,4,3,0,0
15,3,0,0,0,2,0,3,0,0,0,2,0
16,0,4,0,3,0,0,0,4,0,3,0,0
17,3,4,0,0,0,0,3,4,0,0,0,0
18,0,0,0,3,2,0,0,0,0,3,2,0
19,3,0,0,0,0,2,3,0,0,0,0,2
20,3,0,4,0,0,0,3,0,4,0,0,0
21,0,0,0,3,0,2,0,0,0,3,0,2
22,3,4,0,0,0,2,3,4,0,0,0,2
23,0,4,4,0,0,2,0,4,2,0,0,2
24,3,4,0,3,0,0,3,4,0,2,0,0
25,3,4,0,0,2,0,3,4,0,0,2,0
26,0,4,0,0,2,2,0,4,0,0,2,2
27,3,0,0,3,2,0,3,0,0,3,2,0
28,0,4,4,0,2,0,0,3,3,0,1,0
29,0,0,4,3,2,0,0,0,2,3,1,0
30,3,0,0,0,2,2,3,0,0,0,2,2
31,3,0,0,3,0,2,3,0,0,3,0,2
32,3,0,4,0,2,0,3,0,4,0,2,0
33,3,0,4,3,0,0,3,0,2,3,0,0
34,0,0,4,3,0,2,0,0,2,3,0,2
35,3,4,4,0,0,0,3,4,2,0,0,0
36,0,4,0,3,0,2,0,4,0,3,0,2
37,3,0,4,0,0,2,3,0,4,0,0,2
38,0,4,4,3,0,0,0,3,4,3,0,0
39,0,0,0,3,2,2,0,0,0,3,2,2
40,0,4,0,3,2,0,0,4,0,0,2,0
41,0,0,4,0,2,2,0,0,4,0,2,2
42,0,4,4,3,2,0,0,4,3,3,2,0
43,3,4,4,3,0,0,3,4,4,0,0,0
44,3,4,0,3,0,2,3,4,0,3,0,2
45,3,0,4,3,2,0,3,0,3,3,1,0
46,3,4,0,3,2,0,3,4,0,3,1,0
47,3,0,4,3,0,2,3,0,1,3,0,2
48,0,4,4,0,2,2,0,4,3,0,2,2
49,3,4,4,0,0,2,3,4,3,0,0,2
50,0,0,4,3,2,2,0,0,3,3,2,2
51,0,4,4,0,2,2,0,4,0,3,2,2
52,3,4,4,0,2,0,3,4,4,0,2,0
53,3,4,0,0,2,2,3,3,0,0,2,2
54,3,0,0,3,2,2,3,0,0,3,2,2
55,0,4,4,3,0,2,0,4,2,2,0,2
56,3,0,4,0,2,2,3,0,4,0,1,2
57,0,4,4,3,2,2,0,3,1,3,2,2
58,3,4,4,3,2,0,3,3,1,3,1,0
59,3,4,4,3,0,2,3,4,4,3,0,2
60,3,4,0,3,2,2,3,3,0,3,0,2
61,3,0,4,3,2,2,3,0,3,3,2,2
62,3,4,4,0,2,2,2,4,3,0,2,2
63,3,4,4,3,2,2,3,4,1,3,1,2
